Kanji,RTK Keyword,RTK 6th Keyword,Kanji English Meaning,KANJIDIC Index,JIS Index,Kanji Frequency,RTK 4th Index,RTK 6th Index,2k1 Index,Opt Group,Opt Index,KKLC Index,Genki Index,Kanji Freq Group,Opt Vocab Sort Index,Opt Kanji Sort Index,Kanji Stroke Count,RTK2 Index,KanKen Group,Top 6 Vocab,Top 6 Vocab Closed,Top 6 English,Top 6 English Closed,Onyomi (* = not common),Kunyomi (* = not common),Onyomi Words Kanji,Onyomi Words Kana,Kunyomi Words Kanji,Kunyomi Words Kana,Primitives English,Primitives Japanese,Yomi,Yomi with Names,Story
々,noma,noma,"NOMA repeat mark, beggar, beg, give",2967,5022,0,0,0,0,0,0,0,133,1,2682,2682,4,0,1,,,,,,,,,,,,,カイ    こ.う    ,カイ    こ.う    ,
一,one,one,one,76,306C,2,1,1,1,1,1,2,1,1,1756,1911,1,965,10,"一[ -いち- ],  一つ[ -ひとつ- ],  一番[ -いちばん- ],  一人[ -ひとり- ],  一緒に[ -いっしょに- ],  一緒[ -いっしょ- ]","__[ -いち- ],  __つ[ -ひとつ- ],  __番[ -いちばん- ],  __人[ -ひとり- ],  __緒に[ -いっしょに- ],  __緒[ -いっしょ- ]","一[ -one- ],  一つ[ -one (thing)- ],  一番[ -most, best- ],  一人[ -one person- ],  一緒に[ -together, at the same time- ],  一緒[ -together- ]","__[ -one- ],  __つ[ -one (thing)- ],  __番[ -most, best- ],  __人[ -one person- ],  __緒に[ -together, at the same time- ],  __緒[ -together- ]",イチ、イツ,ひと、ひと-つ,"[一度, 一座, 第一];  [一般, 同一, 統一]","[いちど, いちざ, だいいち]; [いっぱん, どういつ, とういつ]",一; 一つ,ひと; ひと.つ,",One,",",ichi,iti,",イチ    イツ    ひと-    ひと.つ    ,イチ    イツ    ひと-    ひと.つ    Name Readings:  かず    い    いっ    いる    かつ    かづ    てん    はじめ    ひ    ひとつ    まこと    ,
二,two,two,two,2151,4673,18,2,2,2,1,2,3,2,1,2959,2959,2,1,10,"二[ -に- ],  二つ[ -ふたつ- ],  二日[ -ふつか- ],  二十日[ -はつか- ],  二人[ -ふたり- ],  二階[ -にかい- ]","__[ -に- ],  __つ[ -ふたつ- ],  __日[ -ふつか- ],  __十日[ -はつか- ],  __人[ -ふたり- ],  __階[ -にかい- ]","二[ -two- ],  二つ[ -two (things)- ],  二日[ -two days, second of the month- ],  二十日[ -20 days, 20th of the month- ],  二人[ -two persons- ],  二階[ -second floor, upstairs- ]","__[ -two- ],  __つ[ -two (things)- ],  __日[ -two days, second of the month- ],  __十日[ -20 days, 20th of the month- ],  __人[ -two persons- ],  __階[ -second floor, upstairs- ]",ニ,ふた、ふた-つ,"[二番目, 二分, 十二月]","[にばんめ, にぶん, じゅうにがつ]",二; 二つ,ふた; ふた.つ,",two,",",ni,",ニ    ジ    ふた    ふた.つ    ふたた.び    ,ニ    ジ    ふた    ふた.つ    ふたた.び    Name Readings:  おと    つぐ    にい    は    ふ    ふたつ    ふだ    わ    ,
三,three,three,three,1050,3B30,32,3,3,3,1,3,4,3,1,2237,2237,3,2,10,"三[ -さん- ],  三つ[ -みっつ- ],  三日[ -みっか- ],  三角[ -さんかく- ],  三角形[ -さんかっけい- ],  三日月[ -みかづき- ]","__[ -さん- ],  __つ[ -みっつ- ],  __日[ -みっか- ],  __角[ -さんかく- ],  __角形[ -さんかっけい- ],  __日月[ -みかづき- ]","三[ -three- ],  三つ[ -three (things)- ],  三日[ -three days, third of the month- ],  三角[ -triangle- ],  三角形[ -triangle- ],  三日月[ -crescent moon- ]","__[ -three- ],  __つ[ -three (things)- ],  __日[ -three days, third of the month- ],  __角[ -triangle- ],  __角形[ -triangle- ],  __日月[ -crescent moon- ]",サン,み、み-つ、みっ-つ,"[三角, 三流, 再三]","[さんかく, さんりゅう, さいさん]",三; 三つ; 三つ,み; み.つ; みっ.つ,",three,",",sann,",サン    ゾウ    み    み.つ    みっ.つ    ,サン    ゾウ    み    み.つ    みっ.つ    Name Readings:  か    さ    さい    さえ    さぶ    ざ    ざえ    ざぶ    そう    ぞ    ただ    みつ    みん    も    や    ,
四,four,four,four,1079,3B4D,94,4,4,4,1,4,6,4,1,2053,2053,5,967,10,"四[ -よん- ],  四つ[ -よっつ- ],  四日[ -よっか- ],  四つ角[ -よつかど- ],  四角い[ -しかくい- ],  四角[ -しかく- ]","__[ -よん- ],  __つ[ -よっつ- ],  __日[ -よっか- ],  __つ角[ -よつかど- ],  __角い[ -しかくい- ],  __角[ -しかく- ]","四[ -four (Japanese origin)- ],  四つ[ -four (things)- ],  四日[ -four days, fourth of the month- ],  四つ角[ -intersection- ],  四角い[ -square- ],  四角[ -square- ]","__[ -four (Japanese origin)- ],  __つ[ -four (things)- ],  __日[ -four days, fourth of the month- ],  __つ角[ -intersection- ],  __角い[ -square- ],  __角[ -square- ]",シ,よ、よ-つ、よっ-つ、よん,"[四角, 四季, 四十七士]","[しかく, しき, しじゅうしちし]",四; 四つ; 四つ; 四,よ; よ.つ; よっ.つ; よん,",four,pent in,human legs,",",hitoashi,hitoasi,kunigamae,",シ    よ    よ.つ    よっ.つ    よん    ,シ    よ    よ.つ    よっ.つ    よん    Name Readings:  あ    つ    よつ    ,
五,five,five,five,814,385E,80,5,5,5,1,5,7,5,1,1492,1174,4,85,10,"五[ -ご- ],  五つ[ -いつつ- ],  五日[ -いつか- ],  五十音[ -ごじゅうおん- ],  五分[ -ごぶ- ],  四捨五入[ -ししゃごにゅう- ]","__[ -ご- ],  __つ[ -いつつ- ],  __日[ -いつか- ],  __十音[ -ごじゅうおん- ],  __分[ -ごぶ- ],  四捨__入[ -ししゃごにゅう- ]","五[ -five- ],  五つ[ -five (things)- ],  五日[ -five days, fifth of the month- ],  五十音[ -Japanese syllabary- ],  五分[ -fifty percent; five percent- ],  四捨五入[ -rounding off- ]","__[ -five- ],  __つ[ -five (things)- ],  __日[ -five days, fifth of the month- ],  __十音[ -Japanese syllabary- ],  __分[ -fifty percent; five percent- ],  四捨__入[ -rounding off- ]",ゴ,いつ、いつ-つ,"[五穀, 五色, 五目飯]","[ごこく, ごしき, ごもくめし]",五; 五つ,いつ; いつ.つ,",five,",",go,",ゴ    いつ    いつ.つ    ,ゴ    いつ    いつ.つ    Name Readings:  い    さ    さつ    ち    ふ    み    め    ,
六,six,six,six,2941,4F3B,181,6,6,6,1,6,8,6,1,901,743,4,971,10,"六[ -ろく- ],  六日[ -むいか- ],  六つ[ -むっつ- ]  ,  ","__[ -ろく- ],  __日[ -むいか- ],  __つ[ -むっつ- ]  ,  ","六[ -six- ],  六日[ -six days, sixth of the month- ],  六つ[ -six (things)- ]  ,  ","__[ -six- ],  __日[ -six days, sixth of the month- ],  __つ[ -six (things)- ]  ,  ",ロク,む、む-つ、むっ-つ、むい*,"[六月, 六法, 丈六]","[ろくがつ, ろっぽう, たけろく]",六; 六つ; 六つ,む; む.つ; むっ.つ,",six,top hat,animal legs,",",nabebuta,hachi,hati,",ロク    リク    む    む.つ    むっ.つ    むい    ,ロク    リク    む    む.つ    むっ.つ    むい    Name Readings:  く    むつ    ろっ    ろつ    ,
七,seven,seven,seven,1151,3C37,202,7,7,7,1,7,9,7,1,1862,1984,2,968,10,"七[ -なな- ],  七日[ -なのか- ],  七つ[ -ななつ- ],  七夕[ -たなばた- ]  ","__[ -なな- ],  __日[ -なのか- ],  __つ[ -ななつ- ],  __夕[ -たなばた- ]  ","七[ -seven (Japanese origin)- ],  七日[ -seven days, seventh of the month- ],  七つ[ -seven (things)- ],  七夕[ -The Star Festival- ]  ","__[ -seven (Japanese origin)- ],  __日[ -seven days, seventh of the month- ],  __つ[ -seven (things)- ],  __夕[ -The Star Festival- ]  ",シチ,なな、なな-つ、なの*,"[七五三, 七福神]","[しちごさん, しちふくじん]",七; 七つ,なな; なな.つ,",seven,diced,",",nana,shichi,siti,",シチ    なな    なな.つ    なの    ,シチ    なな    なな.つ    なの    Name Readings:  し    しっ    な    ひち    ,
八,eight,eight,eight,2268,482C,155,8,8,8,1,8,10,8,1,3012,3012,2,1159,10,"八[ -はち- ],  八日[ -ようか- ],  八つ[ -やっつ- ],  八百屋[ -やおや- ],  八つ当たり[ -やつあたり- ],  ","__[ -はち- ],  __日[ -ようか- ],  __つ[ -やっつ- ],  __百屋[ -やおや- ],  __つ当たり[ -やつあたり- ],  ","八[ -eight- ],  八日[ -eight days, eighth of the month- ],  八つ[ -eight (things)- ],  八百屋[ -greengrocery, vegetable shop- ],  八つ当たり[ -unjustified outburst of anger- ],  ","__[ -eight- ],  __日[ -eight days, eighth of the month- ],  __つ[ -eight (things)- ],  __百屋[ -greengrocery, vegetable shop- ],  __つ当たり[ -unjustified outburst of anger- ],  ",ハチ,や、や-つ、やっ-つ、よう*,"[八月, 八方]","[はちがつ, はっぽう]",八; 八つ; 八つ,や; や.つ; やっ.つ,",eight,",",hachi,hati,",ハチ    や    や.つ    やっ.つ    よう    ,ハチ    や    や.つ    やっ.つ    よう    Name Readings:  な    は    はっ    はつ    やち    やつ    T2はちがしら    ,
九,nine,nine,nine,633,3665,223,9,9,9,1,9,11,9,1,2442,2442,2,969,10,"九[ -きゅう- ],  九日[ -ここのか- ],  九つ[ -ここのつ- ]  ,  ","__[ -きゅう- ],  __日[ -ここのか- ],  __つ[ -ここのつ- ]  ,  ","九[ -nine- ],  九日[ -nine days, ninth of the month- ],  九つ[ -nine (things)- ]  ,  ","__[ -nine- ],  __日[ -nine days, ninth of the month- ],  __つ[ -nine (things)- ]  ,  ",キュウ、ク,ここの、ここの-つ,"[九百, 三拝九拝];  [九分九厘, 九月]","[きゅうひゃく, さんはいきゅうはい]; [くぶくりん, くがつ]",九; 九つ,ここの; ここの.つ,",nine,baseball,",",kyuu,ku,",キュウ    ク    ここの    ここの.つ    ,キュウ    ク    ここの    ここの.つ    Name Readings:  いちじく    いちのく    この    ひさし    ,
